time_s,index_joint0_target_rad,middle_joint0_target_rad,pinky_joint0_target_rad,ring_joint0_target_rad,thumb_joint0_target_rad,index_joint1_target_rad,middle_joint1_target_rad,pinky_joint1_target_rad,ring_joint1_target_rad,thumb_joint1_target_rad,index_joint2_target_rad,thumb_joint2_target_rad
0.00000,0.101203,0.017994,1.277026,0.000000,1.186121,0.915490,1.095508,1.249814,0.000000,0.510104,0.857847,0.101198
0.05000,0.023558,0.014777,1.623478,0.000000,1.560427,0.312905,0.358305,1.203798,0.448905,0.312196,1.505571,1.195291
0.10000,-0.110796,0.017193,1.296117,0.012403,1.563853,0.172331,0.391548,0.780679,0.675567,1.110390,1.808350,0.298193
0.15000,0.079064,0.571831,1.390498,0.382029,0.971839,1.337341,0.804047,0.264949,1.481038,-0.404971,1.898398,-0.079812
0.20000,-0.016901,0.899003,0.744007,0.112432,1.236355,1.418875,0.222385,0.706310,0.501382,-0.792194,1.875477,1.116128
0.25000,0.110792,0.985709,0.807065,0.449975,0.990247,1.724069,0.535612,0.747987,0.856219,0.104310,0.616861,0.831364
0.30000,0.148139,0.318796,0.456684,0.621920,0.919308,1.450689,0.119845,0.246403,1.573968,1.044143,0.178446,1.042993
0.35000,0.164658,0.789044,0.861563,0.162282,0.636539,0.514313,1.141132,0.418562,1.808677,0.746481,0.061379,0.794390
0.40000,0.173995,0.248360,1.314601,0.114592,1.124879,0.565901,0.921483,0.977508,1.454729,0.575498,0.204004,0.934704
0.45000,0.109367,0.067478,1.354286,0.002634,0.964818,0.846479,0.839126,1.140350,1.759769,-0.514742,0.329949,0.936901
0.50000,0.140376,1.138907,1.473489,0.438956,1.055596,1.455813,1.573228,0.578210,0.611641,0.875031,1.368389,1.191590
0.55000,0.100064,0.473118,1.421266,0.532884,1.246588,1.301890,1.313408,1.488478,1.102795,1.068547,0.511165,1.057574
0.60000,0.060901,0.257600,1.576388,0.342086,1.637307,0.451873,0.804982,1.418194,1.032035,0.268206,0.477002,1.374026
0.65000,0.099615,0.687249,1.056869,0.283550,1.164348,0.708067,0.946013,1.313676,0.627656,0.552203,1.234338,1.636856
0.70000,0.035819,0.515555,1.047016,0.105257,1.405581,0.509496,0.535605,1.359107,0.890311,0.309488,0.826813,1.724978
0.75000,0.041116,0.509853,1.070409,0.173230,1.516986,0.565092,0.462291,1.394797,0.848856,0.428686,0.866162,1.805180
0.80000,0.048597,0.325634,0.892780,0.064135,1.727819,0.424222,0.368873,1.332935,0.734863,0.185330,1.020824,1.819088
0.85000,0.052421,0.374582,1.055076,0.000156,1.770778,0.275416,0.133885,1.524017,0.694822,0.046580,0.818045,1.445609
0.90000,0.110143,0.706163,0.845346,0.000000,1.812336,0.704473,0.061394,1.644397,0.287674,0.345825,1.487303,1.036699
0.95000,0.154374,0.981438,1.010173,0.213351,1.830000,0.269439,0.000000,1.813828,0.534492,1.124198,1.298115,0.918233
1.00000,0.160667,0.863227,0.796062,0.056428,1.830000,0.306402,0.000000,1.912956,0.146121,1.207719,1.347620,0.886533
1.05000,0.169239,0.801890,0.919192,0.305101,1.759789,0.338047,0.000000,1.902715,0.175573,1.488482,1.344622,0.972626
1.10000,0.168223,0.685541,0.817220,0.509299,1.823470,0.166323,0.000000,1.916627,0.059785,1.373412,1.192884,1.167518
1.15000,0.174786,0.657194,0.862311,0.592740,1.830000,0.253648,0.000000,1.920000,0.031085,1.548941,1.311146,1.286881
1.20000,0.162774,0.809410,0.697865,0.554363,1.830000,0.101167,0.001828,1.886598,0.120219,1.570000,1.336498,1.405452
1.25000,0.169906,0.853962,0.814525,0.294613,1.830000,0.206443,0.000000,1.883029,0.040273,1.570000,1.085400,1.221857
1.30000,0.168745,0.677606,1.253993,0.296367,1.830000,0.351547,0.010734,1.880084,0.009685,1.566878,0.901060,0.698644
1.35000,0.162645,0.473896,1.060223,0.161530,1.819370,0.418009,0.026928,1.900831,0.000000,1.007513,0.636500,0.259447
1.40000,0.175000,0.114112,0.658213,0.059965,1.401467,0.605171,0.038794,1.920000,0.000000,-0.179719,0.322053,-0.025670
1.45000,0.175000,0.626423,0.868709,0.103443,0.477892,0.926528,0.000000,1.920000,0.098095,-0.706647,0.326371,-0.142145
1.50000,0.175000,1.106057,1.567177,0.438648,0.136199,1.552135,0.006741,1.876865,0.335410,0.494987,0.115843,0.569331
1.55000,0.173032,1.296056,1.802471,1.274957,0.218388,1.813896,0.260793,1.107507,0.083581,1.171956,0.000000,0.603472
1.60000,0.175000,1.103313,1.647249,1.652760,1.302897,1.175390,0.198970,0.722015,0.245508,1.398646,0.000000,0.883615
1.65000,0.096775,0.875302,0.818990,1.060902,1.638707,0.407861,0.353086,1.350680,0.574254,1.167504,0.422586,1.387029
1.70000,0.090744,0.508221,0.674426,0.351255,1.787110,0.524261,0.131176,1.574428,0.269701,0.523606,1.026217,1.539791
1.75000,0.092560,0.489850,0.979343,0.161295,1.826447,0.673559,0.062089,1.798327,0.742265,0.509025,1.100952,0.838950
1.80000,0.147941,0.512836,1.168645,0.186515,1.613589,0.736537,0.038550,1.846633,0.397857,0.468857,1.322204,0.164284
1.85000,0.166006,0.659446,1.034432,0.531259,0.767325,0.806491,0.029130,1.920000,0.566398,0.384153,0.463255,-0.092147
1.90000,0.171868,1.143085,1.625294,0.450627,1.070365,1.024138,0.000000,1.725332,0.350398,0.864418,0.132004,0.861901
1.95000,0.110564,0.748257,1.357610,0.989752,1.569497,0.456249,0.080484,1.572653,0.606182,1.121703,0.478575,1.418796
2.00000,0.054458,0.577382,0.619570,0.875154,1.705987,0.195634,0.019760,1.772761,0.253791,0.871667,1.002581,1.427579
2.05000,0.113981,0.639170,0.604819,0.282013,1.830000,0.576322,0.000000,1.817611,0.147854,0.661819,0.896707,1.170162
2.10000,0.100597,0.792662,1.059768,0.130066,1.830000,0.920426,0.014109,1.825213,0.412687,1.000956,1.121384,0.610549
2.15000,0.153690,0.610648,1.055727,0.665679,1.830000,0.651669,0.034222,1.838877,0.356380,1.109455,1.091243,0.667796
2.20000,0.159809,0.831711,0.820706,0.337023,1.830000,0.491053,0.000000,1.824185,0.190389,1.266518,1.057609,1.083814
2.25000,0.168242,1.077459,0.868355,0.573185,1.830000,0.380727,0.000000,1.892442,0.064773,1.428010,1.300917,1.379564
2.30000,0.169347,1.049811,0.865545,0.511933,1.830000,0.324995,0.000000,1.920000,0.200528,1.564859,1.094563,1.410875
2.35000,0.171728,0.906040,1.008609,0.398256,1.830000,0.522638,0.026506,1.920000,0.296150,1.570000,1.082690,1.344729
2.40000,0.163633,0.840251,1.012039,0.534192,1.830000,0.489396,0.062104,1.868940,0.185431,1.567922,1.338150,1.323491
2.45000,0.153738,0.796895,1.164642,0.490218,1.830000,0.535809,0.000000,1.920000,0.050880,1.570000,1.199838,1.192741
2.50000,0.160157,0.855203,1.154709,0.526928,1.819045,0.642259,0.010382,1.920000,0.000000,1.570000,1.502903,0.873299
2.55000,0.166418,0.674330,1.150681,0.320746,1.830000,0.410156,0.062028,1.920000,0.000000,1.570000,1.623242,0.520225
2.60000,0.172911,0.410831,1.033496,0.076077,1.798898,0.317215,0.501922,1.920000,0.000000,0.942697,1.528314,0.036605
2.65000,0.163867,0.104587,0.867882,0.041612,0.647668,0.101072,0.771239,1.894747,0.000000,-0.386160,1.461473,-0.146690
2.70000,0.174035,0.337132,1.096458,0.056872,0.216033,0.262405,0.292918,1.920000,0.027638,-0.519885,0.733025,0.667881
2.75000,0.174334,0.650149,1.598302,0.105491,0.034125,1.024537,0.069108,1.868365,0.015067,0.871940,0.549942,0.767518
2.80000,0.175000,0.765595,1.760255,0.903921,0.531997,1.526756,0.184837,1.504927,0.577420,1.336946,0.253813,0.925327
2.85000,0.137806,0.814995,1.375106,1.154185,1.367906,0.715543,0.064912,1.198686,0.608938,1.515939,0.190544,1.377528
2.90000,0.101104,0.789354,0.687784,0.778907,1.681284,0.297054,0.077020,1.522811,0.565645,1.314790,0.477763,1.616046
2.95000,0.104063,0.540261,0.663581,0.318532,1.799087,0.522369,0.055611,1.554434,0.272210,0.999026,0.691542,1.479150
3.00000,0.155560,0.630778,0.845008,0.092289,1.822138,0.749049,0.024956,1.793015,0.296943,1.081528,1.006071,0.909853
3.05000,0.161187,0.932253,1.224952,0.252660,1.830000,0.843089,0.000000,1.920000,0.297548,1.073139,1.087449,0.188176
3.10000,0.175000,0.722336,1.508997,1.190258,1.795513,0.718278,0.004082,1.920000,0.407274,1.212667,1.117942,0.613655
3.15000,0.174683,0.811675,1.124048,0.982843,1.817691,0.531106,0.017911,1.920000,0.658223,1.332317,1.097377,1.370397
3.20000,0.161416,0.765276,0.598879,0.618148,1.830000,0.381138,0.000000,1.920000,0.212034,1.440922,1.255018,1.653997
3.25000,0.163998,1.100783,1.003684,0.231975,1.830000,0.739201,0.008023,1.898757,0.037942,1.484125,1.268194,1.176961
3.30000,0.165754,0.899782,1.584192,0.474768,1.830000,0.489114,0.000000,1.885309,0.418876,1.531425,0.993479,0.726715
3.35000,0.162963,0.588040,1.070505,0.537232,1.821031,0.680062,0.000000,1.886224,0.367076,1.389383,1.179942,1.141035
3.40000,0.172421,0.705103,0.764478,0.676972,1.807712,0.480163,0.020176,1.880683,0.273434,1.504488,1.041795,1.459935
3.45000,0.150862,0.951169,0.874477,0.451119,1.821994,0.640603,0.000000,1.904747,0.072435,1.557098,1.196175,1.424530
3.50000,0.164661,1.124549,1.136536,0.553030,1.796268,0.495017,0.000000,1.920000,0.391887,1.570000,0.897293,1.370036
3.55000,0.162597,0.719269,0.872709,0.444109,1.807875,0.486294,0.000000,1.886360,0.556100,1.570000,0.963200,1.455536
3.60000,0.163820,0.959784,0.845402,0.513225,1.798011,0.452444,0.000000,1.872582,0.226620,1.570000,1.137866,1.508648
3.65000,0.174651,1.088058,1.504734,0.458219,1.807067,0.613693,0.000000,1.899781,0.424410,1.570000,0.806528,0.881650
3.70000,0.172480,1.020351,1.148694,0.608108,1.798104,0.907195,0.000000,1.920000,0.465417,1.570000,1.232915,1.313838
3.75000,0.166494,1.032841,0.932143,0.543382,1.830000,0.309042,0.000000,1.905851,0.485645,1.557292,0.923997,1.613552
3.80000,0.174856,0.798105,1.197301,0.330719,1.830000,0.734437,0.021917,1.886707,0.194206,1.517049,0.601745,0.970995
3.85000,0.163637,0.890155,1.292408,0.391701,1.830000,0.586077,0.000000,1.920000,0.681305,1.546332,0.750842,0.587062
