step,reward,critic_loss,actor_loss,q_mean,logp_mean,sigma_mean,tau_mean,act_sat_frac,n_abort,abort_force_mean,success
0,-0.6425,nan,nan,nan,nan,nan,nan,0.0065,0,0.0000,0.0000
200,-0.2649,nan,nan,nan,nan,nan,nan,0.0098,0,0.0000,0.0000
400,-0.1129,nan,nan,nan,nan,nan,nan,0.0072,0,0.0000,0.0000
600,-0.5795,nan,nan,nan,nan,nan,nan,0.0111,0,0.0000,0.0000
800,-0.2215,nan,nan,nan,nan,nan,nan,0.0130,0,0.0000,0.0000
1000,-0.0798,0.6527,-0.5931,-0.0328,-4.0150,0.1554,0.3023,0.0020,0,0.0000,0.0000
1200,-0.6021,0.3996,-1.3336,0.6994,-4.0946,0.1548,0.3049,0.0007,0,0.0000,0.0000
1400,-0.1385,0.3899,-1.7198,1.0877,-4.1168,0.1535,0.3109,0.0026,0,0.0000,0.0000
1600,-0.1053,0.4000,-2.0870,1.4311,-4.0943,0.1603,0.2791,0.0039,0,0.0000,0.0000
1800,-0.4299,0.3768,-2.4687,1.8165,-4.0984,0.1591,0.2861,0.0033,0,0.0000,0.0000
2000,-0.1588,0.3434,-2.8360,2.1778,-4.0982,0.1604,0.2783,0.0026,0,0.0000,0.0000
2200,-0.1215,5.0425,-3.2763,2.6107,-4.1119,0.1620,0.2716,0.0013,0,0.0000,0.0000
2400,-0.4173,0.3454,-3.6179,2.9688,-4.1078,0.1582,0.2890,0.0013,0,0.0000,0.0000
2600,-0.1717,0.3507,-4.0282,3.3558,-4.0963,0.1643,0.2603,0.0033,0,0.0000,0.0000
2800,-0.0885,0.3040,-4.4783,3.7938,-4.0778,0.1679,0.2452,0.0033,0,0.0000,0.0000
3000,-0.3217,0.2806,-4.9084,4.2236,-4.0844,0.1678,0.2456,0.0026,0,0.0000,0.0000
3200,-0.0916,0.3011,-5.2654,4.5791,-4.0798,0.1681,0.2426,0.0013,0,0.0000,0.0000
3400,-0.0583,0.3189,-5.6754,4.9843,-4.0684,0.1698,0.2353,0.0026,0,0.0000,0.0000
3600,-0.2707,0.3653,-6.1587,5.4734,-4.0723,0.1683,0.2428,0.0039,0,0.0000,0.0000
3800,-0.0567,0.3714,-6.6378,5.9466,-4.0263,0.1721,0.2244,0.0013,0,0.0000,0.0000
4000,-0.0601,0.3475,-7.2069,6.5046,-4.0241,0.1746,0.2139,0.0013,0,0.0000,0.0000
4200,-0.1253,0.4571,-7.9909,7.2788,-4.0370,0.1767,0.2044,0.0020,0,0.0000,0.0000
4400,-0.0615,0.4413,-8.3900,7.6840,-4.0031,0.1766,0.2052,0.0026,0,0.0000,0.0000
4600,-0.0654,0.2963,-8.9576,8.2475,-3.9968,0.1781,0.1978,0.0013,0,0.0000,0.0000
4800,-0.0704,0.4372,-9.9037,9.1850,-3.9725,0.1809,0.1858,0.0052,0,0.0000,0.0000
5000,-0.0642,0.8321,-10.3057,9.5853,-3.9623,0.1819,0.1807,0.0013,0,0.0000,0.0000
5200,-0.0634,0.7320,-11.0905,10.3577,-3.9870,0.1839,0.1714,0.0013,0,0.0000,0.0000
5400,-0.0562,0.9094,-11.7993,11.0726,-3.9224,0.1853,0.1648,0.0020,0,0.0000,0.0000
5600,-0.0591,0.4291,-12.6327,11.8969,-3.9140,0.1882,0.1517,0.0033,0,0.0000,0.0000
5800,-0.0602,0.6907,-13.1848,12.4436,-3.8942,0.1905,0.1418,0.0020,0,0.0000,0.0000
6000,-0.0560,0.4751,-13.9351,13.1766,-3.9400,0.1924,0.1329,0.0039,0,0.0000,0.0000
6200,-0.0590,0.5765,-14.7768,14.0108,-3.9515,0.1940,0.1266,0.0013,0,0.0000,0.0000
6400,-0.0583,0.3731,-15.3850,14.6138,-3.9839,0.1935,0.1280,0.0013,0,0.0000,0.0000
6600,-0.0546,0.3044,-16.1104,15.3393,-3.9372,0.1956,0.1186,0.0020,0,0.0000,0.0000
6800,-0.0578,0.7621,-16.7743,15.9956,-3.9645,0.1962,0.1163,0.0026,0,0.0000,0.0000
7000,-0.0579,0.4467,-17.4214,16.6427,-3.9554,0.1968,0.1136,0.0026,0,0.0000,0.0000
7200,-0.0556,0.6767,-17.9577,17.1780,-3.9403,0.1978,0.1086,0.0059,0,0.0000,0.0000
7400,-0.0568,0.3593,-18.5933,17.8156,-3.9255,0.1979,0.1086,0.0013,0,0.0000,0.0000
7600,-0.5514,0.4166,-19.0361,18.2399,-4.0103,0.1985,0.1058,0.0013,0,0.0000,0.0000
7800,-0.0559,0.5698,-19.6449,18.8487,-4.0039,0.1989,0.1044,0.0039,0,0.0000,0.0000
8000,-0.0583,0.2799,-20.2139,19.4189,-3.9936,0.1989,0.1042,0.0020,0,0.0000,0.0000
8200,-0.4274,0.2525,-20.6996,19.9046,-3.9893,0.1993,0.1024,0.0026,0,0.0000,0.0000
8400,-0.0550,0.5317,-21.1690,20.3663,-4.0279,0.1992,0.1028,0.0052,0,0.0000,0.0000
8600,-0.0593,0.8494,-21.7764,20.9770,-4.0171,0.1990,0.1041,0.0039,0,0.0000,0.0000
8800,-0.1346,0.4730,-22.2370,21.4344,-4.0207,0.1996,0.1016,0.0020,0,0.0000,0.0000
9000,-0.0573,0.4466,-22.6865,21.8928,-3.9825,0.1992,0.1031,0.0033,0,0.0000,0.0000
9200,-0.0584,0.4954,-23.0891,22.2953,-3.9835,0.1992,0.1027,0.0013,0,0.0000,0.0000
9400,-0.0400,0.2456,-23.7411,22.9411,-4.0076,0.1996,0.1016,0.0007,0,0.0000,0.0000
9600,-0.0563,0.3423,-24.1578,23.3561,-4.0136,0.1997,0.1009,0.0033,0,0.0000,0.0000
9800,-0.0596,0.3291,-24.5907,23.7854,-4.0326,0.1996,0.1013,0.0020,0,0.0000,0.0000
10000,-0.0418,0.3590,-25.0324,24.2306,-4.0159,0.1996,0.1012,0.0046,0,0.0000,0.0000
10200,-0.0569,0.2854,-25.6159,24.8159,-4.0029,0.1999,0.1004,0.0007,0,0.0000,0.0000
10400,-0.0586,0.4175,-25.9443,25.1369,-4.0446,0.1996,0.1013,0.0007,0,0.0000,0.0000
10600,-0.0466,0.6346,-26.3464,25.5457,-4.0064,0.1999,0.1004,0.0020,0,0.0000,0.0000
10800,-0.0560,0.1268,-26.8818,26.0776,-4.0271,0.1997,0.1010,0.0059,0,0.0000,0.0000
11000,-0.0576,0.4573,-27.2352,26.4359,-4.0041,0.1995,0.1014,0.0026,0,0.0000,0.0000
11200,-0.0490,0.6730,-27.6977,26.8940,-4.0244,0.1997,0.1010,0.0026,0,0.0000,0.0000
11400,-0.0563,0.4293,-28.1469,27.3389,-4.0509,0.1994,0.1022,0.0039,0,0.0000,0.0000
11600,-0.0567,0.3411,-28.4793,27.6771,-4.0197,0.1995,0.1015,0.0033,0,0.0000,0.0000
11800,-0.0506,0.0950,-28.9096,28.1101,-4.0026,0.1997,0.1010,0.0020,0,0.0000,0.0000
12000,-0.0542,0.6532,-29.3191,28.5197,-4.0071,0.1994,0.1018,0.0013,0,0.0000,0.0000
12200,-0.0555,0.2413,-29.7691,28.9680,-4.0109,0.1997,0.1010,0.0020,0,0.0000,0.0000
12400,-0.0508,0.4228,-30.1057,29.3015,-4.0303,0.1995,0.1016,0.0039,0,0.0000,0.0000
12600,-0.0533,0.6215,-30.5458,29.7398,-4.0318,0.1999,0.1003,0.0039,0,0.0000,0.0000
12800,-0.0556,0.6554,-30.9186,30.1160,-4.0230,0.1994,0.1018,0.0007,0,0.0000,0.0000
13000,-0.0512,0.3226,-31.3251,30.5252,-4.0090,0.1994,0.1018,0.0013,0,0.0000,0.0000
13200,-0.0526,0.5244,-31.6784,30.8721,-4.0403,0.1995,0.1014,0.0026,0,0.0000,0.0000
13400,-0.0547,0.2732,-32.1042,31.3018,-4.0193,0.1997,0.1010,0.0026,0,0.0000,0.0000
13600,-0.0510,0.4586,-32.4754,31.6714,-4.0288,0.1995,0.1015,0.0020,0,0.0000,0.0000
13800,-0.0516,0.6426,-32.9034,32.1042,-4.0023,0.1997,0.1010,0.0007,0,0.0000,0.0000
14000,-0.0511,0.5309,-33.1891,32.3861,-4.0202,0.1997,0.1009,0.0046,0,0.0000,0.0000
14200,-0.0497,0.1758,-33.7006,32.8918,-4.0506,0.1997,0.1009,0.0039,0,0.0000,0.0000
14400,-0.0512,0.3649,-34.0890,33.2843,-4.0273,0.1998,0.1007,0.0000,0,0.0000,0.0000
14600,-0.0507,0.2798,-34.4672,33.6645,-4.0174,0.1998,0.1006,0.0007,0,0.0000,0.0000
14800,-0.0492,0.5608,-34.7527,33.9415,-4.0635,0.1996,0.1012,0.0039,0,0.0000,0.0000
15000,-0.0504,0.3161,-35.1167,34.3101,-4.0386,0.1997,0.1011,0.0020,0,0.0000,0.0000
15200,-0.5629,0.6222,-35.4962,34.6918,-4.0260,0.1998,0.1007,0.0013,0,0.0000,0.0000
15400,-0.0489,0.0838,-35.9689,35.1642,-4.0255,0.1999,0.1003,0.0046,0,0.0000,0.0000
15600,-0.0493,0.4853,-36.2301,35.4200,-4.0594,0.1995,0.1014,0.0013,0,0.0000,0.0000
15800,-0.2959,1.1217,-36.4837,35.6757,-4.0492,0.1995,0.1015,0.0026,0,0.0000,0.0000
16000,-0.0487,0.1916,-36.9274,36.1211,-4.0441,0.1993,0.1024,0.0020,0,0.0000,0.0000
16200,-0.0482,0.3175,-37.3051,36.5031,-4.0155,0.1997,0.1009,0.0020,0,0.0000,0.0000
16400,-0.0617,0.1134,-37.7095,36.8998,-4.0532,0.1997,0.1009,0.0033,0,0.0000,0.0000
16600,-0.0477,0.1988,-38.0337,37.2327,-4.0141,0.1995,0.1016,0.0026,0,0.0000,0.0000
16800,-0.0478,0.2681,-38.4095,37.6001,-4.0552,0.1996,0.1013,0.0052,0,0.0000,0.0000
17000,-0.0376,0.3040,-38.6869,37.8751,-4.0680,0.1995,0.1014,0.0033,0,0.0000,0.0000
17200,-0.0474,0.0702,-39.0478,38.2431,-4.0294,0.1997,0.1010,0.0026,0,0.0000,0.0000
17400,-0.0534,0.3452,-39.3620,38.5553,-4.0406,0.1996,0.1012,0.0026,0,0.0000,0.0000
17600,-0.0390,0.2079,-39.6554,38.8498,-4.0383,0.1994,0.1019,0.0013,0,0.0000,0.0000
17800,-0.0465,0.1934,-40.0953,39.2897,-4.0314,0.1998,0.1006,0.0026,0,0.0000,0.0000
18000,-0.0478,0.2559,-40.3639,39.5530,-4.0589,0.1997,0.1010,0.0033,0,0.0000,0.0000
18200,-0.0409,0.7069,-40.5707,39.7689,-4.0130,0.1998,0.1007,0.0039,0,0.0000,0.0000
18400,-0.0458,0.2848,-41.0380,40.2307,-4.0386,0.1999,0.1004,0.0033,0,0.0000,0.0000
18600,-0.0479,0.3292,-41.2810,40.4789,-4.0182,0.1995,0.1015,0.0000,0,0.0000,0.0000
18800,-0.0418,0.9293,-41.5259,40.7208,-4.0315,0.1998,0.1010,0.0013,0,0.0000,0.0000
19000,-0.0451,0.3548,-41.9350,41.1269,-4.0462,0.1996,0.1012,0.0026,0,0.0000,0.0000
19200,-0.0441,0.2789,-42.2110,41.4057,-4.0340,0.1996,0.1016,0.0013,0,0.0000,0.0000
19400,-0.0424,0.2420,-42.4703,41.6663,-4.0250,0.1997,0.1010,0.0026,0,0.0000,0.0000
19600,-0.0474,0.2424,-42.8523,42.0463,-4.0372,0.1996,0.1011,0.0020,0,0.0000,0.0000
19800,-0.0450,0.7554,-43.0495,42.2420,-4.0472,0.1994,0.1018,0.0026,0,0.0000,0.0000
20000,-0.0462,0.3916,-43.3938,42.5854,-4.0459,0.1998,0.1007,0.0013,0,0.0000,0.0000
20200,-0.0443,0.5203,-43.5810,42.7803,-4.0110,0.1995,0.1015,0.0026,0,0.0000,0.0000
20400,-0.0435,0.2135,-43.9827,43.1717,-4.0592,0.1998,0.1007,0.0013,0,0.0000,0.0000
20600,-0.0425,0.3442,-44.2257,43.4222,-4.0239,0.1997,0.1010,0.0026,0,0.0000,0.0000
20800,-0.0424,0.4923,-44.5556,43.7533,-4.0161,0.1997,0.1010,0.0020,0,0.0000,0.0000
21000,-0.0429,0.5871,-44.7086,43.9046,-4.0288,0.1995,0.1016,0.0039,0,0.0000,0.0000
21200,-0.0414,0.5162,-44.9553,44.1500,-4.0291,0.1998,0.1006,0.0059,0,0.0000,0.0000
21400,-0.0413,0.5106,-45.2782,44.4770,-4.0174,0.1994,0.1020,0.0033,0,0.0000,0.0000
