step,reward,critic_loss,actor_loss,q_mean,logp_mean,sigma_mean,tau_mean,act_sat_frac,n_abort,abort_force_mean,success
0,-0.4067,nan,nan,nan,nan,nan,nan,0.0065,0,0.0000,0.0000
200,-0.4829,nan,nan,nan,nan,nan,nan,0.0098,0,0.0000,0.0000
400,-0.5409,nan,nan,nan,nan,nan,nan,0.0072,0,0.0000,0.0000
600,-0.4145,nan,nan,nan,nan,nan,nan,0.0111,0,0.0000,0.0000
800,-0.4845,nan,nan,nan,nan,nan,nan,0.0130,0,0.0000,0.0000
1000,-0.5447,0.1679,-0.5822,-0.0329,-4.0153,0.1527,0.3081,0.0020,0,0.0000,0.0000
1200,-0.4211,0.1080,-0.7738,0.1537,-4.0955,0.1513,0.3137,0.0007,0,0.0000,0.0000
1400,-0.5204,0.0812,-0.7869,0.1721,-4.1187,0.1494,0.3225,0.0026,0,0.0000,0.0000
1600,-0.5229,0.0815,-0.9264,0.2932,-4.0919,0.1549,0.2964,0.0039,0,0.0000,0.0000
1800,-0.4251,0.0951,-0.9915,0.3582,-4.0983,0.1545,0.2993,0.0033,0,0.0000,0.0000
2000,-0.5263,0.0742,-1.1274,0.4906,-4.1027,0.1551,0.2956,0.0026,0,0.0000,0.0000
2200,-0.5674,0.0733,-1.2110,0.5744,-4.1176,0.1548,0.2986,0.0013,0,0.0000,0.0000
2400,-0.4359,0.0777,-1.1797,0.5652,-4.1137,0.1495,0.3224,0.0013,0,0.0000,0.0000
2600,-0.5260,0.0879,-1.4249,0.7873,-4.1006,0.1556,0.2947,0.0033,0,0.0000,0.0000
2800,-0.5943,0.2118,-1.5733,0.9318,-4.0841,0.1572,0.2859,0.0033,0,0.0000,0.0000
3000,-0.4488,0.2885,-1.6828,1.0323,-4.0871,0.1593,0.2787,0.0033,0,0.0000,0.0000
3200,-0.5461,0.1117,-1.7954,1.1397,-4.0801,0.1605,0.2712,0.0013,0,0.0000,0.0000
3400,-0.5612,0.4041,-2.1118,1.4526,-4.0738,0.1617,0.2668,0.0020,0,0.0000,0.0000
3600,-0.4554,0.1070,-2.2185,1.5557,-4.0941,0.1619,0.2646,0.0033,0,0.0000,0.0000
3800,-0.5346,0.2150,-2.4029,1.7365,-4.0684,0.1642,0.2531,0.0007,0,0.0000,0.0000
4000,-0.5347,0.4382,-2.6240,1.9416,-4.0661,0.1676,0.2390,0.0000,0,0.0000,0.0000
4200,-0.4645,0.3498,-2.8288,2.1426,-4.0542,0.1693,0.2311,0.0026,0,0.0000,0.0000
4400,-0.5173,0.1665,-3.0556,2.3694,-4.0501,0.1693,0.2301,0.0026,0,0.0000,0.0000
4600,-0.5224,0.1347,-3.3824,2.6901,-4.0575,0.1706,0.2239,0.0013,0,0.0000,0.0000
4800,-0.4781,0.2811,-3.6625,2.9570,-4.0484,0.1742,0.2068,0.0059,0,0.0000,0.0000
5000,-0.5098,0.3717,-3.7766,3.0755,-4.0242,0.1743,0.2084,0.0007,0,0.0000,0.0000
5200,-0.4984,0.2464,-4.0798,3.3725,-4.0247,0.1758,0.1986,0.0020,0,0.0000,0.0000
5400,-0.4702,0.4064,-4.4486,3.7409,-4.0065,0.1766,0.1945,0.0033,0,0.0000,0.0000
5600,-0.4839,0.3697,-4.8985,4.1719,-4.0274,0.1804,0.1756,0.0033,0,0.0000,0.0000
5800,-0.4867,0.0854,-5.0940,4.3714,-4.0041,0.1803,0.1750,0.0020,0,0.0000,0.0000
6000,-0.4653,0.1298,-5.4935,4.7564,-4.0427,0.1823,0.1638,0.0039,0,0.0000,0.0000
6200,-0.4737,0.0926,-5.8339,5.0855,-4.0689,0.1839,0.1561,0.0007,0,0.0000,0.0000
6400,-0.4727,0.0604,-6.0896,5.3347,-4.0535,0.1862,0.1483,0.0020,0,0.0000,0.0000
6600,-0.4577,0.0421,-6.4787,5.7256,-4.0423,0.1863,0.1437,0.0020,0,0.0000,0.0000
6800,-0.4593,0.0415,-6.7067,5.9501,-4.0637,0.1860,0.1453,0.0026,0,0.0000,0.0000
7000,-0.4573,0.0982,-6.9652,6.2097,-4.0574,0.1864,0.1424,0.0026,0,0.0000,0.0000
7200,-0.4465,0.0530,-7.2780,6.5285,-4.0382,0.1856,0.1446,0.0059,0,0.0000,0.0000
7400,-0.4387,0.0345,-7.5343,6.7819,-4.0448,0.1862,0.1420,0.0020,0,0.0000,0.0000
7600,-0.4095,0.0398,-7.7158,6.9581,-4.0729,0.1863,0.1415,0.0026,0,0.0000,0.0000
